Date,Category,Type,Amount
2025-09-01,Rent,Housing,3000.0
2025-09-01,Food,Needs,68.34
2025-09-01,Transport,Needs,41.22
2025-09-01,Health,Needs,155.48
2025-09-01,Education,Wants,209.32
2025-09-02,Food,Needs,51.77
2025-09-02,Transport,Needs,38.33
2025-09-02,Shopping,Wants,335.71
2025-09-02,Education,Wants,502.91
2025-09-03,Transport,Needs,21.85
2025-09-03,Health,Needs,74.18
2025-09-05,Utilities,Needs,209.16
2025-09-06,Food,Needs,69.29
2025-09-06,Transport,Needs,24.43
2025-09-06,Entertainment,Wants,105.59
2025-09-07,Food,Needs,67.8
2025-09-07,Health,Needs,232.28
2025-09-08,Food,Needs,115.97
2025-09-09,Food,Needs,52.14
2025-09-09,Transport,Needs,25.59
2025-09-09,Entertainment,Wants,238.58
2025-09-10,Food,Needs,110.97
2025-09-10,Transport,Needs,25.5
2025-09-10,Entertainment,Wants,162.27
2025-09-11,Food,Needs,64.62
2025-09-11,Shopping,Wants,118.85
2025-09-11,Health,Needs,206.86
2025-09-12,Food,Needs,54.24
2025-09-12,Transport,Needs,49.87
2025-09-12,Education,Wants,460.36
2025-09-13,Transport,Needs,25.56
2025-09-13,Shopping,Wants,273.91
2025-09-14,Transport,Needs,33.35
2025-09-14,Entertainment,Wants,232.53
2025-09-15,Transport,Needs,42.08
2025-09-15,Education,Wants,262.08
2025-09-16,Food,Needs,111.94
2025-09-16,Health,Needs,269.5
2025-09-17,Food,Needs,82.4
2025-09-17,Transport,Needs,42.02
2025-09-17,Shopping,Wants,290.11
2025-09-18,Transport,Needs,23.73
2025-09-18,Health,Needs,127.93
2025-09-19,Transport,Needs,33.92
2025-09-19,Entertainment,Wants,94.94
2025-09-20,Food,Needs,54.73
2025-09-20,Entertainment,Wants,231.08
2025-09-20,Health,Needs,109.5
2025-09-21,Food,Needs,58.82
2025-09-22,Food,Needs,56.46
2025-09-22,Transport,Needs,30.79
2025-09-23,Food,Needs,76.84
2025-09-23,Transport,Needs,45.39
2025-09-23,Entertainment,Wants,88.04
2025-09-24,Food,Needs,111.55
2025-09-24,Transport,Needs,45.38
2025-09-24,Shopping,Wants,499.71
2025-09-25,Entertainment,Wants,147.13
2025-09-25,Shopping,Wants,260.42
2025-09-25,Health,Needs,144.74
2025-09-26,Food,Needs,102.27
2025-09-26,Transport,Needs,30.77
2025-09-27,Food,Needs,69.78
2025-09-27,Education,Wants,392.09
2025-09-28,Food,Needs,106.85
